Congregation ID,Congregation,Members,RE Enrollment,Avg. Attendance,Date Certified,FC,Cong. Poll,Total Expenses,Region,District
2533,"Palomar Unitarian Universalist Fellowship (Vista, CA)",192,73,,01/24/18,,,"$240,660.00",Pacific Western Region,   Pacific Southwest District
2535,"UU Congregation of Whittier (Whittier, CA)",8,0,7,02/13/18,None,,"$3,338.00",Pacific Western Region,   Pacific Southwest District
5733,"UU Congregation of Las Vegas (Las Vegas, NV)",110,34,73,12/12/17,,,"$199,477.00",Pacific Western Region,   Pacific Southwest District
1933,"Anchorage UU Fellowship Inc (Anchorage, AK)",200,99,186,02/01/18,,,"$360,414.00",Pacific Western Region,   Pacific Northwest District
1934,"UU Fellowship of Fairbanks (Fairbanks, AK)",104,40,,01/30/18,,,"$184,087.00",Pacific Western Region,   Pacific Northwest District
2011,"Juneau UU Fellowship (Juneau, AK)",26,9,22,12/11/17,,,"$24,425.00",Pacific Western Region,   Pacific Northwest District
2012,"Sitka UU Fellowship Inc. (Sitka, AK)",19,6,,02/08/18,,,"$8,713.00",Pacific Western Region,   Pacific Northwest District
3125,"Boise UU Fellowship (Boise, ID)",290,107,253,01/25/18,,,"$294,581.00",Pacific Western Region,   Pacific Northwest District
3127,"North Idaho UUs (Coeur D Alene, ID)",27,0,26,01/25/18,,,"$20,757.00",Pacific Western Region,   Pacific Northwest District
3135,"Magic Valley UU Fellowship, Inc. (Twin Falls, ID)",39,7,20,01/24/18,,,"$20,900.00",Pacific Western Region,   Pacific Northwest District
7114,"UU Fellowship of Central Oregon (BEND, OR)",191,50,186,01/29/18,,,"$387,350.00",Pacific Western Region,   Pacific Northwest District
7115,"South Coast U U Fellowship (Coos Bay, OR)",26,0,23,01/30/18,,,"$8,279.00",Pacific Western Region,   Pacific Northwest District
7116,"UU Fellowship of Corvallis (Corvallis, OR)",341,115,245,01/17/18,,,"$473,959.00",Pacific Western Region,   Pacific Northwest District
7119,"UU Congregation at Willamette Falls (Oregon City, OR)",191,95,160,01/31/18,,,"$252,608.00",Pacific Western Region,   Pacific Northwest District
7120,"Florence Unitarian Universalist Fellowship (Florence, OR)",33,0,50,01/14/18,,,"$23,053.00",Pacific Western Region,   Pacific Northwest District
7121,"The Unitarian Universalist Church in Eugene (Eugene, OR)",264,165,230,01/31/18,,,"$500,893.00",Pacific Western Region,   Pacific Northwest District
7122,"UU Fellowship of Klamath County (Klamath Falls, OR)",26,5,20,01/29/18,,,"$18,130.00",Pacific Western Region,   Pacific Northwest District
7123,"South Park UU Fellowship (West Linn, OR)",20,0,15,01/18/18,,,"$13,800.00",Pacific Western Region,   Pacific Northwest District
7124,"Rogue Valley Unitarian Universalist Fellowship (Ashland, OR)",170,39,118,02/01/18,,,"$246,444.00",Pacific Western Region,   Pacific Northwest District
7127,"Central Coast UU Fellowship (Newport, OR)",34,0,20,01/09/18,,,"$1,956.00",Pacific Western Region,   Pacific Northwest District
7128,"Unitarian Universalists of Grants Pass (Grants Pass, OR)",56,0,40,01/30/18,,,"$30,696.00",Pacific Western Region,   Pacific Northwest District
7130,"Wy'east Unitarian Universalist Congregation (Portland, OR)",54,10,60,01/06/18,,,"$66,195.00",Pacific Western Region,   Pacific Northwest District
7131,"First Unitarian Church (Portland, OR)",1043,378,982,01/26/18,,,"$2,083,700.00",Pacific Western Region,   Pacific Northwest District
7132,"West Hills Unitarian Universalist Fellowship (Portland, OR)",116,53,99,01/25/18,,,"$187,960.00",Pacific Western Region,   Pacific Northwest District
7133,"Eastrose Fellowship Unitarian Universalist (Portland, OR)",71,36,59,01/23/18,,,"$130,995.00",Pacific Western Region,   Pacific Northwest District
7134,"Umpqua UU Congregation (Roseburg, OR)",42,,46,01/19/18,,,"$72,358.00",Pacific Western Region,   Pacific Northwest District
7135,"UU Community Church of Washington County (Hillsboro, OR)",193,33,110,01/23/18,,,"$209,137.00",Pacific Western Region,   Pacific Northwest District
7136,"UU Fellowship of McMinnville (Mcminnville, OR)",62,,55,12/30/17,,,"$49,931.00",Pacific Western Region,   Pacific Northwest District
7211,"UU Congregation of Salem (Salem, OR)",218,85,170,01/31/18,,,"$255,420.00",Pacific Western Region,   Pacific Northwest District
7212,"Pacific UU Fellowship (Astoria, OR)",55,6,N/A,12/22/17,,,"$27,739.00",Pacific Western Region,   Pacific Northwest District
8131,"East Shore Unitarian Church (Bellevue, WA)",453,74,155,01/29/18,,,"$948,501.00",Pacific Western Region,   Pacific Northwest District
8132,"Bellingham Unitarian Fellowship (Bellingham, WA)",257,40,198,01/19/18,,,"$346,400.00",Pacific Western Region,   Pacific Northwest District
8133,"Free Church Unitarian (Blaine, WA)",36,3,25,01/22/18,,,"$39,213.00",Pacific Western Region,   Pacific Northwest District
8134,"Kitsap UU Fellowship (Bremerton, WA)",111,30,63,01/29/18,,,"$26,962.00",Pacific Western Region,   Pacific Northwest District
8135,"Saltwater Unitarian Universalist Church (Des Moines, WA)",173,45,132,01/24/18,,,"$280,598.00",Pacific Western Region,   Pacific Northwest District
8136,"Cedars UU Church (Bainbridge Island, WA)",133,43,81,01/30/18,,,"$228,219.00",Pacific Western Region,   Pacific Northwest District
8137,"Skagit Unitarian Universalist Fellowship (Mount Vernon, WA)",58,12,45,01/25/18,,,"$37,928.00",Pacific Western Region,   Pacific Northwest District
8139,"Kittitas Valley UU Congregation (Ellensburg, WA)",47,19,40,01/26/18,,,"$26,780.00",Pacific Western Region,   Pacific Northwest District
8140,"All Souls UU Community (Olympia, WA)",,,,,,,,Pacific Western Region,   Pacific Northwest District
8211,"Edmonds Unitarian Universalist Congregation (Edmonds, WA)",296,46,160,01/25/18,,,"$428,117.00",Pacific Western Region,   Pacific Northwest District
8212,"Evergreen UU Fellowship (Marysville, WA)",88,15,51,01/16/18,None,,"$176,844.00",Pacific Western Region,   Pacific Northwest District
8214,"Community UU Church (Pasco, WA)",68,29,47,01/17/18,,,"$81,218.00",Pacific Western Region,   Pacific Northwest District
8215,"San Juan Island UU Fellowship (Friday Harbor, WA)",9,0,14,01/03/18,,,"$2,285.00",Pacific Western Region,   Pacific Northwest District
8221,"Northlake Unitarian Universalist Church (Kirkland, WA)",148,52,110,01/31/18,None,,"$481,302.00",Pacific Western Region,   Pacific Northwest District
8222,"UU Congregation of Whidbey Island (Freeland, WA)",101,2,65,01/18/18,,,"$125,487.00",Pacific Western Region,   Pacific Northwest District
8223,"Olympia Unitarian Universalist Congregation (Olympia, WA)",289,60,200,01/28/18,,,"$403,534.00",Pacific Western Region,   Pacific Northwest District
8224,"Olympic UU Fellowship (Port Angeles, WA)",74,0,62,01/24/18,,,"$71,179.00",Pacific Western Region,   Pacific Northwest District
8225,"UU Church of the Palouse (Moscow, ID)",174,64,127,01/29/18,,,"$244,164.00",Pacific Western Region,   Pacific Northwest District
8226,"Shoreline UU Church (Shoreline, WA)",178,90,160,01/19/18,,,"$269,314.00",Pacific Western Region,   Pacific Northwest District
8228,"Quimper Unitarian Universalist Fellowship (Port Townsend, WA)",415,95,276,01/29/18,,,"$465,711.00",Pacific Western Region,   Pacific Northwest District
8231,"University Unitarian Church (Seattle, WA)",863,118,472,01/22/18,,,"$1,198,962.00",Pacific Western Region,   Pacific Northwest District
8232,"Westside UU Congregation (Seattle, WA)",216,104,145,01/11/18,,,"$468,835.00",Pacific Western Region,   Pacific Northwest District
8233,"Unitarian Universalist Church of Spokane (Spokane, WA)",378,30,214,01/22/18,,,"$398,182.00",Pacific Western Region,   Pacific Northwest District
8234,"Tahoma Unitarian Universalist Congregation (Tacoma, WA)",177,69,144,02/01/18,,,"$260,844.00",Pacific Western Region,   Pacific Northwest District
8235,"UU Church of Vancouver (Vancouver, WA)",240,70,203,01/23/18,,,"$191,793.00",Pacific Western Region,   Pacific Northwest District
8311,"Vashon Island Unitarian Fellowship (Vashon, WA)",67,22,40,01/31/18,,,"$56,409.00",Pacific Western Region,   Pacific Northwest District
8312,"Woodinville UU Church (Woodinville, WA)",182,92,138,01/12/18,,,"$308,290.00",Pacific Western Region,   Pacific Northwest District
8313,"Cascade Unitarian Universalist Fellowship (East Wenatchee, WA)",138,25,74,01/30/18,,,"$166,840.00",Pacific Western Region,   Pacific Northwest District
8314,"UU Church of Yakima (Yakima, WA)",74,9,34,01/18/18,,,"$97,989.00",Pacific Western Region,   Pacific Northwest District
8316,"Mid Columbia UU Fellowship (Hood River, OR)",77,24,36,01/15/18,,,"$76,347.00",Pacific Western Region,   Pacific Northwest District
2034,"UU Fellowship of Santa Cruz County (Aptos, CA)",93,22,70,01/29/18,,,"$166,930.00",Pacific Western Region,   Pacific Central District
2037,"Sierra Foothills Unitarian Universalists (Auburn, CA)",134,33,90,01/28/18,,,"$180,154.00",Pacific Western Region,   Pacific Central District
2111,"Humboldt UU Fellowship (Bayside, CA)",178,60,100,01/10/18,,,"$188,763.00",Pacific Western Region,   Pacific Central District
2112,"UU Church of Berkeley (Kensington, CA)",371,90,214,01/26/18,,,"$1,259,486.00",Pacific Western Region,   Pacific Central District
2113,"Berkeley Fellowship of UUs (Berkeley, CA)",48,8,43,01/26/18,,,"$207,644.00",Pacific Western Region,   Pacific Central District
2123,"Unitarian Universalist Fellowship in Chico (Chico, CA)",68,12,53,02/01/18,,,"$135,690.00",Pacific Western Region,   Pacific Central District
2132,"Unitarian Universalist Church of Davis (Davis, CA)",250,60,140,01/29/18,,,"$556,722.00",Pacific Western Region,   Pacific Central District
2136,"Mission Peak Unitarian Universalist Congregation (Fremont, CA)",102,38,69,01/23/18,,,"$200,520.00",Pacific Western Region,   Pacific Central District
2211,"The Unitarian Universalist Church of Fresno (Fresno, CA)",354,123,203,01/30/18,,,"$498,829.00",Pacific Western Region,   Pacific Central District
2214,"Starr King UU Church (Hayward, CA)",137,9,70,01/18/18,,,"$176,518.00",Pacific Western Region,   Pacific Central District
2218,"Unitarian Universalist Community of Lake County (Kelseyville, CA)",35,3,35,01/23/18,,,"$21,489.00",Pacific Western Region,   Pacific Central District
2223,"Unitarian Universalist Church in Livermore (Livermore, CA)",144,29,80,01/30/18,,,"$255,462.00",Pacific Western Region,   Pacific Central District
2233,"Unitarian Fellowship of Los Gatos (Los Gatos, CA)",77,25,65,01/10/18,,,"$91,500.00",Pacific Western Region,   Pacific Central District
2235,"UU Fellowship Stanislaus County (Salida, CA)",104,30,52,01/11/18,,,"$186,190.00",Pacific Western Region,   Pacific Central District
2310,"UU Community of the Mountains (Grass Valley, CA)",138,20,92,02/01/18,,,"$221,025.00",Pacific Western Region,   Pacific Central District
2311,"UU Church of the Monterey Peninsula (Carmel, CA)",238,45,111,01/22/18,,,"$416,352.00",Pacific Western Region,   Pacific Central District
2312,"First Unitarian Church of Oakland (Oakland, CA)",292,74,135,01/31/18,,,"$492,578.00",Pacific Western Region,   Pacific Central District
2323,"UU Church of Palo Alto (Palo Alto, CA)",223,102,201,01/30/18,,,"$763,368.00",Pacific Western Region,   Pacific Central District
2326,"UU Fellowship of Porterville Inc. (Porterville, CA)",23,0,12,12/02/17,,,"$6,228.00",Pacific Western Region,   Pacific Central District
2332,"Unitarian Universalists of Petaluma (Petaluma, CA)",96,12,55,01/12/18,,,$0.00,Pacific Western Region,   Pacific Central District
2412,"UU Fellowship of Redwood City (Redwood City, CA)",167,65,117,01/22/18,,,"$282,864.00",Pacific Western Region,   Pacific Central District
2414,"UU Society of Sacramento (Sacramento, CA)",424,78,262,01/25/18,,,"$623,409.00",Pacific Western Region,   Pacific Central District
2424,"First Unitarian Universalist Society of San Francisco (San Francisco, CA)",353,81,211,01/30/18,,,"$1,453,329.00",Pacific Western Region,   Pacific Central District
2425,"First Unitarian Church of San Jose (San Jose, CA)",243,40,103,01/29/18,,,"$350,266.00",Pacific Western Region,   Pacific Central District
2432,"Unitarian Universalists of San Mateo (San Mateo, CA)",171,101,110,01/24/18,,,"$513,904.00",Pacific Western Region,   Pacific Central District
2433,"Unitarian Universalist Congregation of Marin (San Rafael, CA)",128,35,85,01/31/18,,,"$380,758.00",Pacific Western Region,   Pacific Central District
2515,"Unitarian Universalist Congregation, Santa Rosa (Santa Rosa, CA)",345,40,265,01/31/18,,,"$529,066.00",Pacific Western Region,   Pacific Central District
2520,"Unitarian Universalist Fellowship of Tuolumne County (Sonora, CA)",70,0,40,01/28/18,,,$0.00,Pacific Western Region,   Pacific Central District
2522,"First UU Church of Stockton CA (Stockton, CA)",105,20,52,01/19/18,,,"$181,577.00",Pacific Western Region,   Pacific Central District
2524,"Unitarian Universalist Fellowship of Sunnyvale (Sunnyvale, CA)",122,34,93,01/31/18,,,"$258,902.00",Pacific Western Region,   Pacific Central District
2531,"Napa Valley UUs (Napa, CA)",89,25,65,01/12/18,,,"$139,114.00",Pacific Western Region,   Pacific Central District
2534,"Mt. Diablo UU Church (Walnut Creek, CA)",510,80,286,02/01/18,,,"$736,370.00",Pacific Western Region,   Pacific Central District
2536,"UU Fellowship of Visalia (Visalia, CA)",25,2,19,01/21/18,,,"$19,096.00",Pacific Western Region,   Pacific Central District
3124,"First Unitarian Church of Honolulu (Honolulu, HI)",96,20,92,01/17/18,,,"$177,213.00",Pacific Western Region,   Pacific Central District
5734,"Unitarian Universalist Fellowship of Northern Nevada (Reno, NV)",206,62,131,01/18/18,,,"$356,094.00",Pacific Western Region,   Pacific Central District
3810,"Unitarian Universalist Community Church (Augusta, ME)",174,43,113,01/31/18,,,"$201,153.00",New England Regional Staff,   Northern New England District
3811,"First Universalist Church of Auburn, ME UU (Auburn, ME)",105,31,84,01/31/18,,,"$181,065.00",New England Regional Staff,   Northern New England District
3817,"UU Church of Belfast (Belfast, ME)",131,43,83,01/29/18,,,$0.00,New England Regional Staff,   Northern New England District
3818,"The UU Society of Bangor (Bangor, ME)",152,60,117,01/25/18,,,"$210,400.00",New England Regional Staff,   Northern New England District
3822,"UU Church of Brunswick (Brunswick, ME)",214,48,118,02/01/18,,,"$256,735.00",New England Regional Staff,   Northern New England District
3824,"Central Aroostook Unitarian Universalists (Caribou, ME)",,,,,None,,,New England Regional Staff,   Northern New England District
3825,"UU Congregation of Castine (Castine, ME)",60,,38,01/22/18,,,"$197,000.00",New England Regional Staff,   Northern New England District
3831,"First Universalist Church of Dexter (Dexter, ME)",29,,21,01/30/18,,,"$21,847.00",New England Regional Staff,   Northern New England District
3833,"First Congregational Society (Unitarian) of Eastport (Eastport, ME)",,,,,,,,New England Regional Staff,   Northern New England District
3834,"Unitarian Universalist Church of Ellsworth (Ellsworth, ME)",120,25,70,01/25/18,,,"$139,724.00",New England Regional Staff,   Northern New England District
3837,"Midcoast UU Fellowship (Damariscotta, ME)",52,16,45,01/30/18,,,"$48,697.00",New England Regional Staff,   Northern New England District
3912,"Unitarian Universalist Church of Houlton (Houlton, ME)",30,6,27,01/30/18,None,,"$34,620.00",New England Regional Staff,   Northern New England District
3913,"First Parish UU Church (Kennebunk, ME)",99,35,59,01/30/18,,,"$223,360.00",New England Regional Staff,   Northern New England District
3922,"First Universalist Church of Norway UU (Norway, ME)",58,,30,01/24/18,,,"$75,138.00",New England Regional Staff,   Northern New England District
3926,"Unitarian Universalist Meeting House of Pittsfield, Maine (Pittsfield, ME)",31,0,11,12/12/17,,,"$38,742.00",New England Regional Staff,   Northern New England District
3931,"The First Parish in Portland Maine UU (Portland, ME)",327,39,189,01/30/18,,,"$299,445.00",New England Regional Staff,   Northern New England District
3933,"Allen Ave UU Church (Portland, ME)",233,80,173,01/29/18,,,"$283,764.00",New England Regional Staff,   Northern New England District
3934,"First Universalist Church in Rockland (Rockland, ME)",155,59,65,02/01/18,,,"$204,667.00",New England Regional Staff,   Northern New England District
3936,"UU Church of Saco & Biddeford (Saco, ME)",81,6,47,01/29/18,,,"$86,783.00",New England Regional Staff,   Northern New England District
4011,"Sanford UU Church (Sanford, ME)",59,10,30,02/01/18,,,"$99,865.00",New England Regional Staff,   Northern New England District
4013,"First Universalist Church of South Paris (South Paris, ME)",25,0,15,01/31/18,,,"$21,600.00",New England Regional Staff,   Northern New England District
4016,"Universalist Unitarian Church of Waterville, Maine (Waterville, ME)",,,,,,,,New England Regional Staff,   Northern New England District
4018,"The UU Church of Sangerville & Dover Foxcroft (Sangerville, ME)",37,2,20,01/12/18,,,"$47,733.00",New England Regional Staff,   Northern New England District
4022,"First Universalist Church (West Paris, ME)",,,,,,,,New England Regional Staff,   Northern New England District
4024,"First Universalist Church of Yarmouth (Yarmouth, ME)",131,45,88,01/25/18,,,"$192,630.00",New England Regional Staff,   Northern New England District
5811,"South Parish Unitarian Church (Charlestown, NH)",,,,,None,,,New England Regional Staff,   Northern New England District
5814,"Unitarian Universalist Church of Concord (Concord, NH)",274,59,140,01/16/18,,,"$400,496.00",New England Regional Staff,   Northern New England District
5817,"UU Fellowship of the Eastern Slopes (Tamworth, NH)",79,14,54,01/31/18,,,"$121,998.00",New England Regional Staff,   Northern New England District
5821,"Durham Unitarian Universalist Fellowship (Durham, NH)",47,14,39,01/26/18,,,"$36,590.00",New England Regional Staff,   Northern New England District
5822,"First Unitarian Universalist Society of Exeter (Exeter, NH)",211,61,113,01/14/18,,,"$226,455.00",New England Regional Staff,   Northern New England District
5823,"UU Congregation of Franklin (Franklin, NH)",27,4,20,01/24/18,,,"$72,841.00",New England Regional Staff,   Northern New England District
5824,"UU Congregation of the Upper Valley (Norwich, VT)",97,24,72,01/18/18,,,"$151,532.00",New England Regional Staff,   Northern New England District
5825,"Keene UU Church (Keene, NH)",175,24,65,01/31/18,,,"$210,995.00",New England Regional Staff,   Northern New England District
5827,"First Congregational Society Unitarian (Hampton Falls, NH)",6,,15,01/30/18,,,"$5,155.00",New England Regional Staff,   Northern New England District
5832,"UU Society of Laconia (Laconia, NH)",78,5,43,01/24/18,,,"$66,256.00",New England Regional Staff,   Northern New England District
5833,"Unitarian Universalists Church of Manchester (Manchester, NH)",101,29,62,01/17/18,,,"$202,099.00",New England Regional Staff,   Northern New England District
5834,"The Federated Church of Marlborough (Marlborough, NH)",2,10,41,01/17/18,,,"$122,892.00",New England Regional Staff,   Northern New England District
5835,"UU Congregation in Milford (Milford, NH)",149,30,65,01/31/18,,,"$201,456.00",New England Regional Staff,   Northern New England District
5836,"UU Church of Nashua New Hampshire (Nashua, NH)",272,65,150,01/17/18,,,"$452,580.00",New England Regional Staff,   Northern New England District
5837,"Kearsarge UU Fellowship (New London, NH)",42,0,29,01/13/18,,,"$21,488.00",New England Regional Staff,   Northern New England District
5911,"Newfields Community Church (Newfields, NH)",,,,,,,,New England Regional Staff,   Northern New England District
5912,"Nottingham Community Church UU (Nottingham, NH)",15,0,20,01/29/18,,,"$12,602.00",New England Regional Staff,   Northern New England District
5913,"Peterborough UU Church (Peterborough, NH)",126,17,62,01/23/18,,,"$213,802.00",New England Regional Staff,   Northern New England District
5914,"South Church (Portsmouth, NH)",503,130,274,01/11/18,,,"$552,113.00",New England Regional Staff,   Northern New England District
5915,"Walpole Unitarian Church (Walpole, NH)",26,4,12,01/24/18,,,"$53,810.00",New England Regional Staff,   Northern New England District
5916,"First Universalist Church of West Chesterfield (West Chesterfield, NH)",15,0,8,01/30/18,,,"$10,700.00",New England Regional Staff,   Northern New England District
5917,"Starr King UU Fellowship (Plymouth, NH)",141,18,77,01/30/18,,,"$148,351.00",New England Regional Staff,   Northern New England District
5921,"First Unitarian Congregational Society of Wilton Center (Wilton, NH)",31,0,14,01/29/18,,,"$28,881.00",New England Regional Staff,   Northern New England District
5922,"The United Church of Winchester (Winchester, NH)",6,0,40,,None,,,New England Regional Staff,   Northern New England District
7921,"First Church in Barre Universalist 1796 (Barre, VT)",22,,17,01/30/18,,,"$134,237.00",New England Regional Staff,   Northern New England District
7923,"UU Fellowship of Bennington (Bennington, VT)",76,6,46,01/31/18,,,"$56,539.00",New England Regional Staff,   Northern New England District
7924,"United Church of Bethel (Bethel, VT)",10,0,30,01/29/18,,,"$52,297.00",New England Regional Staff,   Northern New England District
7925,"All Souls Church, Inc. (West Brattleboro, VT)",75,5,47,01/31/18,,,"$156,088.00",New England Regional Staff,   Northern New England District
7926,"First Universalist Church & Society of Barnard (Barnard, VT)",,,,,None,,,New England Regional Staff,   Northern New England District
7931,"First Unitarian Universalist Society of Burlington, VT Inc. (Burlington, VT)",470,170,379,01/26/18,,,"$773,207.00",New England Regional Staff,   Northern New England District
7932,"First Universalist Parish of Chester, Inc. (Chester, VT)",42,5,26,01/31/18,,,"$46,267.00",New England Regional Staff,   Northern New England District
7934,"First Universalist Parish (Derby Line, VT)",47,2,25,01/19/18,,,"$33,144.00",New England Regional Staff,   Northern New England District
7936,"First Universalist Society of Hartland (Hartland Four Corners, VT)",116,59,65,01/31/18,,,"$111,877.00",New England Regional Staff,   Northern New England District
7937,"Champlain Valley UU Society (Middlebury, VT)",179,69,127,01/10/18,,,"$307,800.00",New England Regional Staff,   Northern New England District
7938,"Mount Mansfield UU Fellowship (Jericho, VT)",64,28,57,02/01/18,,,"$29,705.00",New England Regional Staff,   Northern New England District
